,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mid-Way Through 2018-19 Season,Mid-Way Through 2018-19 Season,,,,,,,,,,,,,,,,,,,,
Step,League,"2021-22
Position",2021-22 Promoted,"2022-23
5,Essex Senior League ,4,2,15,1,Halstead Town,,,"3,560","4,034","4,372","4,439",,,"4,470",,"4,689","4,865","4,919",,"5,059","5,179","5,205",260,,,,
5,Hellenic League Premier Div.,2,2,4,1,Worcester Raiders,,,"1,620","1,990","2,075","2,590",,,"2,868",,"3,556",,"3,929",,"4,519","4,723","4,849",794,,,,
5,Hellenic League Premier Div.,4,2,8,1,Hereford Pegasus,,,"1,800","2,188","2,195","2,276",,,"2,336",,"2,546","2,748","2,826",,"3,066","3,201","3,280",375,,,,
5,Midland Football League Premier Div.,1,2,10,1,Atherstone Town,,,"2,935","3,699","3,748","3,843",,,"3,955",,"4,385","4,563","4,649",,"4,906","5,213","5,247",564,,,,
5,Midland Football League Premier Div.,1,2,14,1,Studley,,,"1,003","1,383","1,471","1,771",,,"1,918",,"2,590","2,837","2,920",,"3,187","3,320","3,445",400,,,,
5,Midland Football League Premier Div.,2,2,4,1,Darlaston Town (1874),,,"1,187","1,306","1,403","1,577",,,"1,709",,"2,468","2,753","2,877",,"3,118","3,306","3,365",429,,,,
5,North West Counties League Premier Div.,1,2,4,1,Bury AFC,,,,"3,887","13,348","18,775",,,"21,497",,"23,689","24,542","24,814",,"25,674","26,334","85,660","1,520",,,,
5,North West Counties League Premier Div.,1,2,9,1,West Didsbury & Chorlton ,,,"5,637","6,452","6,523","6,831",,,"7,094",,"7,996","8,843","8,948",,"9,643","10,224","10,327","1,276",,,,
5,North West Counties League Premier Div.,2,2,11,1,Skelmersdale United,,,"3,730","4,253","4,235","4,431","4,563",,"5,410","5,398","6,072","6,509","6,557",,"6,999","20,287","8,290","13,730",,,,
5,North West Counties League Premier Div.,2,2,13,1,FC Isle of Man,,,200,,,"3,573",,,"4,103",,"6,364","7,911","8,084",,"8,573","8,961","9,083",877,,,,
5,Northern Counties East League Premier Div.,1,2,6,1,Hallam,,,"7,881","8,986","9,126","9,427",,,"9,853",,"11,940","12,583","12,747",,"13,574","13,956","14,047","1,209",,,,
5,Northern Counties East League Premier Div.,3,2,9,1,Golcar United,,,"1,120","2,069","2,180","2,457",,,"2,694",,"3,506","3,936","4,120",,"4,297","4,459","4,510",339,,,,
5,Northern League Div. One ,1,2,7,1,North Shields,,,"10,633","11,485","11,400","11,734","11,838",,"11,913","11,888","12,810","13,844","13,949",,"14,367","14,504","14,621",555,,,,
5,Northern League Div. One ,1,2,15,1,Carlisle City,,,"9,884","10,834","11,100","11,830",,,"12,230",,"12,751","13,028","13,139",,"13,352","13,353","13,399",214,,,,
5,Northern League Div. One ,2,2,8,1,Heaton Stannington,,,"5,330","6,018","6,028","6,259",,,"6,408",,"7,220","7,721","7,932",,"8,624","8,932","9,057","1,000",,,,
5,Southern Combination League Premier Div.,2,2,13,1,Midhurst & Easebourne,,,"2,350","2,625","2,657","2,744",,,"2,832",,"3,097","3,224","3,283",,"3,445","3,491","3,464",208,,,,
5,Southern Counties East League Premier Div.,1,2,9,1,Stansfeld,,,"1,338","1,671","1,699","1,898",,,"1,987",,"2,343","2,570","2,622",,"2,771","2,902","2,956",280,,,,
5,Southern Counties East League Premier Div.,2,2,14,1,Sutton Athletic,,,"2,205","2,402","2,386","2,454",,,"2,495",,"2,707","2,858","2,928",,"3,042","3,164","3,308",236,,,,
5,Spartan South Midlands League Premier Div.,1,2,11,1,London Lions,,,"1,090","1,245","1,257","1,334",,,"1,433",,"1,816","1,977","2,013",,"2,212","2,295","2,366",282,,,,
5,Spartan South Midlands League Premier Div.,4,2,15,1,Shefford Town & Campton,,,896,972,980,"1,047",,,"1,116",,"1,397","1,556","1,615",,"1,974","2,071","2,163",456,,,,
5,United Counties League Premier Div. North,1,2,10,1,Kimberley Miners Welfare,,,"2,355","2,769","2,806","2,987",,,"3,090",,"3,706","3,951","4,024",,"4,293","4,465","4,553",441,,,,
5,United Counties League Premier Div. North,3,2,14,1,Belper United,,,"1,750","1,970","2,011","2,146",,,"2,311",,"2,773","2,933","2,992",,"3,135","3,324","3,376",332,,,,
5,Wessex League Premier Div.,1,2,17,1,Sherborne Town,,,"2,535","2,745","2,812","2,860",,,"3,058",,"3,299","3,452","3,496",,"3,721","3,898","3,984",402,,,,
5,Wessex League Premier Div.,5,2,8,1,Laverstock & Ford,,,"1,477","1,706","1,750","1,847",,,"1,941",,"2,208","2,422","2,475",,"2,704","2,872","2,960",397,,,,
5,Western League Premier Div.,1,2,7,1,Falmouth Town,,,,"1,888","1,941","2,094",,,"2,260",,"2,926","3,242","3,351",,"3,806","4,027","4,104",676,,,,
5,Western League Premier Div.,1,2,12,1,Torpoint Athletic,,,,"2,540","2,566","2,692",,,"2,789",,"3,100","3,243","3,310",,"3,507","3,612","3,672",302,,,,
5,Western League Premier Div.,4,2,14,1,Welton Rovers,,,"2,932","3,173","3,207","3,314",,,"3,425",,"3,843","4,039","4,129",,"4,428","4,569","4,609",440,,,,
6,Combined Counties League Div. One,5,2,17,1,Spartans Youth,,,,,,,,,,,,,936,,"1,023","1,102","1,167",166,,,,
6,Eastern Counties League Div. One North,1,2,5,1,Stanway Pegasus,,,,,,,,,,,,,"1,757",,"1,913","2,060","2,154",303,,,,
6,Eastern Counties League Div. One South,1,2,9,1,Cannons Wood,,,,,,,,,,,,,"11,517",,"11,128","10,941","10,962",-576,,,,
6,Eastern Counties League Div. One South,1,2,17,1,NW London,,,,,,,,,,,,,637,,667,726,756,89,,,,
6,Eastern Counties League Div. One South,2,2,2,1,Basildon Town,,,,,,,,,,,,,"2,208",,"2,474","2,696","2,919",488,,,,
6,Hellenic League Div. One,1,2,2,1,Hartpury University,,,,,,,,,,,,,411,,713,954,"1,008",543,,,,
6,Hellenic League Div. One,2,2,11,1,Southam United,,,,,,,,,,,,,"1,761",,"1,841","1,945","2,009",184,,,,
6,Midland Football League Div. One,1,2,4,1,Droitwich Spa,,,,,,,,,,,,,"2,840",,"3,149","3,374","3,545",534,,,,
6,Midland Football League Div. One,2,2,9,1,Coton Green,,,,,,,,,,,,,"2,723",,"2,913","3,052","3,139",329,,,,
6,North West Counties League Div. One North,1,2,3,1,FC St Helens,,,,,,,,,,,,,"3,106",,"3,308","3,556","3,652",450,,,,
6,North West Counties League Div. One North,3,2,5,1,Euxton Villa,,,,,,,,,,,,,"3,254",,"3,467","3,668","3,753",414,,,,
6,North West Counties League Div. One South,2,2,12,1,Ashville FC,,,,,,,,,,,,,"4,262",,"4,723","5,056","5,184",794,,,,
6,North West Counties League Div. One South,3,2,9,1,Stockport Georgians,,,,,,,,,,,,,"2,520",,"2,819","3,000","3,099",480,,,,
6,Northern Counties East League Div. One,1,2,4,1,Wakefield AFC,,,,,,,,,,,,,"4,527",,"4,814","5,198","5,478",671,,,,
6,Northern Counties East League Div. One,2,2,6,1,Horbury Town,,,,,,,,,,,,,"1,818",,"2,063","2,289","2,380",471,,,,
6,Northern Counties East League Div. One,2,2,11,1,Beverley Town ,,,,,,,,,,,,,"2,572",,"3,074","3,418","3,573",846,,,,
6,Northern League Div. Two,2,2,8,1,Prudhoe Youth Club,,,,,,,,,,,,,"2,659",,"2,793","2,858","2,897",199,,,,
6,Northern League Div. Two,2,2,12,1,Chester-le-Street United,,,,,,,,,,,,,"2,382",,"2,625","2,698","2,765",316,,,,
6,Southern Counties East League Div. One,2,2,8,1,AFC Whyteleafe,,,,,,,,,,,,,,,"1,652","1,835","1,974","1,835",,,,
6,Spartan South Midlands League Div. One,3,2,8,1,Moulton ,,,,,,,,,,,,,358,,903,541,598,183,,,,
6,Spartan South Midlands League Div. One,4,2,10,1,Eaton Socon,,,,,,,,,,,,,"1,649",,"1,810","1,894","1,975",245,,,,
6,SW Peninsula League Div. One East,1,2,8,1,Teignmouth ,,,,,,,,,,,,,"1,538",,"1,617","1,695","1,733",157,,,,
6,SW Peninsula League Div. One West,2,2,11,1,Mullion ,,,,,,,,,,,,,585,,684,810,826,225,,,,
6,SW Peninsula League Div. One West,4,2,5,1,Bude Town,,,,,,,,,,,,,"1,380",,"1,527","1,725","1,770",345,,,,
6,United Counties League Div. One,1,2,5,1,Newark Town,,,,,,,,,,,,,"2,799",,"2,931","3,133","3,239",334,,,,
6,United Counties League Div. One,1,2,14,1,Southwell City,,,,,,,,,,,,,"2,356",,"2,519","2,659","2,699",303,,,,
6,Wessex League Div. One,1,2,4,1,Hamworthy Recreation,,,,,,,,,,,,,"1,177",,"1,330","1,507","1,584",330,,,,
6,Wessex League Div. One,3,2,8,1,Fleetlands,,,,,,,,,,,,,"1,626",,"1,762","1,873","1,960",247,,,,
6,Western League Div. One,2,2,6,1,Shirehampton,,,,,,,,,,,,,"1,481",,"1,676","1,820","1,916",339,,,,
1,National League,3,1,15,1,Solihull Moors,"16,091","16,675","17,573","20,661","21,100","21,841","22,017","22,305","22,556","22,762","25,115","26,291","28,292","29,491","30,065","30,778","31,102","2,486",,,,
1,National League,4,1,11,1,FC Halifax Town,"27,795","27,990","28,182","29,814","29,900","30,462","30,531","30,672","31,200","31,577","33,402","34,763","35,007","35,859","36,232","37,191","37,571","2,184",,,,
1,National League,7,1,3,1,Chesterfield,"76,096","76,699","77,155","78,754","78,400","78,336","78,529","78,630","79,097","79,373","88,210","93,297","93,808","95,478","96,412","98,105","99,776","4,297",,,,
1,National League,8,1,10,1,Dagenham & Redbridge,"34,072","34,312","34,498","35,873","35,900","36,189","36,289","36,471","36,735","36,958","38,607","39,704","39,836","40,554","41,001","41,894","42,060","2,058",,,,
1,National League,9,1,6,1,Boreham Wood,"12,173","12,386","12,702","14,470","14,700","15,195","15,276","15,480","15,956","16,122","18,111","22,576","22,656","23,680","23,943","24,523","25,149","1,867",,,,
1,National League,10,1,7,1,Bromley,"17,217","17,441","17,756","20,231","20,400","20,753","20,912","21,104","21,501","21,795","24,297","26,750","27,078","27,929","28,452","29,587","30,487","2,509",,,,
1,National League,13,1,8,1,Southend United,"77,010",,"79,602","84,205",,,,,,,"89,091","91,465","91,707","93,276","94,042","95,635","95,877","3,928",,,,
1,National League,14,1,17,1,Altrincham,"17,399","17,678","18,600","20,741","20,700","22,058","22,130","22,311","22,577","22,777","24,235","24,929","25,209","25,981","26,342","27,984","28,232","2,775",,,,
1,National League,15,1,4,1,Woking,"16,328","16,948","17,471","19,495","19,700","19,953","20,225","20,496","20,791","21,065","22,526","23,403","23,589","24,308","24,970","26,117","26,546","2,528",,,,
1,National League,16,1,13,1,Wealdstone,"5,886","6,018","6,197","8,029","8,343","9,005","9,181","9,464","9,767","10,001","10,985","11,547","11,628","12,258","12,544","13,208","13,542","1,580",,,,
1,National League,17,1,20,1,Maidenhead United,"9,784","9,957","10,207","11,999","12,100","12,421","12,529","12,677","12,840","13,007","14,266","14,860","14,973","15,422","15,678","16,064","16,347","1,091",,,,
1,National League,18,1,5,1,Barnet,"29,736","30,336","31,292","33,356","33,500","33,942","34,040","34,224","34,618","34,864","36,677","37,524","37,665","38,521","39,091","40,470","40,747","2,805",,,,
1,National League,19,1,9,1,Eastleigh,"22,231","22,456","22,830","26,003","27,100","27,687","27,780","28,242","28,477","28,655","30,408","31,501","31,601","32,350","33,045","34,255","34,512","2,654",,,,
1,National League,20,1,18,1,Aldershot Town,"35,129","35,317","35,481","37,028","36,900","37,198","37,274","37,390","37,760","37,892","39,369","40,105","40,330","41,004","41,402","42,451","42,770","2,121",,,,
2,National League North,2,1,4,1,Brackley Town,"11,501","11,651","11,914","13,138","13,200","13,587","13,668","13,942","14,352","14,416","15,127","15,860","15,929","16,387","16,631","17,077","17,722","1,148",,,,
2,National League North,6,1,12,1,Chorley,"20,395","20,588","21,012","23,779","23,700","24,074","24,170","24,682","34,102","33,739","33,992","34,567","34,657","35,036","35,229","35,310","35,488",653,,,,
2,National League North,7,1,15,1,Boston United ,"15,326","15,485","15,783","17,708","17,900","18,855","18,987","19,239","19,662","19,760","21,506","22,957","23,201","23,846","24,158","24,714","25,055","1,513",,,,
2,National League North,9,1,5,1,Alfreton Town,"11,645","11,775","11,988","13,507","13,600","13,972","14,053","14,152","14,313","14,367","15,280","16,053","16,215","16,936","17,039","17,423","17,634","1,208",,,,
2,National League North,10,1,9,1,Spennymoor Town,"15,053","15,272","15,699","17,855","18,000","18,352","18,450","18,598","18,742","18,777","20,882","21,678","21,776","22,196","22,580","23,128","23,308","1,352",,,,
2,National League North,11,1,18,1,Southport,"19,164","19,590","19,976","21,301","21,300","21,834","21,958","22,090","22,384","22,562","23,760","24,711","24,808","25,270","25,659","26,250","26,707","1,442",,,,
2,National League North,12,1,16,1,Hereford,"21,331","21,449","21,646","22,722","22,700","22,859","22,961","23,042","23,342","23,716","24,823","25,436","25,530","25,929","26,418","26,701","26,966","1,171",,,,
2,National League North,13,1,10,1,Darlington,"33,286","33,570","33,829","35,858","35,800","35,901","35,980","36,433","36,598","36,655","37,839","38,771","38,891","39,551","40,075","41,275","41,535","2,384",,,,
2,National League North,14,1,13,1,Curzon Ashton,"10,402","10,621","10,848","12,371","12,400","13,230","13,366","13,543","13,834","13,933","15,236","15,645","15,792","16,135","16,825","17,102","17,287","1,310",,,,
2,National League North,16,1,3,1,Chester,"38,125","38,435","38,816","41,893","42,100","42,548","42,776","43,046","43,476","43,784","45,628","46,625","46,786","47,677","49,680","50,574","51,149","3,788",,,,
2,National League North,17,1,7,1,Gloucester City,"11,766","11,919","12,056","13,162","13,200","13,806","13,980","14,226","14,802","14,972","16,430","17,037","17,073","17,505","17,842","18,156","18,760","1,083",,,,
2,National League North,19,1,19,1,Blyth Spartans,"19,127","19,374","19,612","21,895","21,900","22,105","22,232","22,352","22,471","22,482","24,014","25,202","25,279","26,421","27,500","28,011","28,174","2,732",,,,
2,National League North,21,1,20,1,Farsley Celtic,"11,344","11,528","11,773","13,320","13,300","13,489","13,565","13,666","13,869","13,872","14,553","15,208","15,295","15,633","15,803","16,259","16,504",964,,,,
2,National League South,4,1,2,1,Dartford,"17,214","17,369","17,604","19,070","19,200","19,848","19,991","20,108","20,332","20,441","21,618","22,395","22,598","23,024","23,216","23,709","23,991","1,111",,,,
2,National League South,6,1,8,1,Eastbourne Borough,"4,865","4,946","5,125","5,981","6,102","6,238","6,306","6,723","6,924","7,019","7,707","8,268","8,321","8,737","8,909","9,271","9,688",950,,,,
2,National League South,7,1,13,1,Chippenham Town,"7,602","7,678","7,790","9,196","9,456","9,617","9,694","9,808","10,010","10,088","10,882","11,589","11,649","12,256","13,044","13,485","13,598","1,836",,,,
2,National League South,8,1,10,1,Havant & Waterlooville,"3,539","3,717","4,026","6,038","6,086","6,458","6,524","6,736","6,977","7,023","8,180","8,727","8,867","9,245","9,569","10,063","10,245","1,196",,,,
2,National League South,9,1,6,1,St Albans City,"10,941","11,055","11,253","12,213","12,300","12,947","13,078","13,321","13,571","13,692","16,032","16,502","16,615","16,958","17,234","17,796","18,676","1,181",,,,
2,National League South,11,1,17,1,Hampton & Richmond Borough,"6,611","6,731","6,838","7,730","7,958","8,267","8,391","8,635","8,875","8,940","9,925","10,338","10,439","10,929","11,279","11,699","11,902","1,260",,,,
2,National League South,12,1,18,1,Slough Town,"11,276","11,432","11,597","12,636","12,700","13,064","13,148","13,251","13,387","13,435","14,319","14,762","14,830","15,237","15,449","16,074","16,379","1,244",,,,
2,National League South,15,1,15,1,Hemel Hempstead Town,"9,340","9,460","9,640","10,857","10,900","11,445","11,551","11,753","11,909","12,020","12,963","13,388","13,421","13,709","13,812","14,318","14,535",897,,,,
2,National League South,16,1,9,1,Tonbridge Angels,"5,972","6,040","6,156","7,543","7,674","7,786","7,868","8,211","8,351","8,436","9,071","9,600","9,668","10,029","10,193","10,542","10,758",874,,,,
2,National League South,17,1,7,1,Braintree Town,"15,240","15,392","15,619","16,775","16,700","17,004","17,212","17,356","17,623","17,689","18,066","18,552","18,627","18,960","19,169","19,656","19,976","1,029",,,,
2,National League South,18,1,11,1,Bath City,"8,803","9,060","9,503","11,307","11,600","12,099","12,200","12,362","12,583","12,666","13,882","14,312","14,472","15,229","18,050","19,005","19,542","4,533",,,,
2,National League South,19,1,5,1,Chelmsford City,"14,446","14,638","14,924","16,329","16,500","16,822","16,881","17,286","17,486","17,575","18,337","18,733","18,812","19,264","19,764","20,535","20,875","1,723",,,,
2,National League South,20,1,16,1,Welling United,"14,468","14,626","14,804","16,141","16,200","16,489","16,561","16,701","16,901","16,970","17,533","18,146","18,245","18,833","19,191","19,840","20,238","1,595",,,,
3,Isthmian Premier League ,3,1,9,1,Enfield Town,"5,717","5,810","5,940","6,687","6,854","7,027","7,085","7,167","7,221","7,344","8,546","9,020","9,072","9,268","9,326","9,491","9,696",419,,,,
3,Isthmian Premier League ,4,1,2,1,AFC Hornchurch,"6,639","6,701","6,810","7,541","7,637","7,737","7,815","7,908","8,042","9,416","10,610","11,091","11,111","11,326","11,450","11,700","12,239",589,,,,
3,Isthmian Premier League ,6,1,12,1,Folkestone Invicta,"7,393","7,459","7,603","8,307","8,389","8,520","8,618","8,696","8,709","8,768","9,688","10,154","10,185","10,426","10,597","10,788","10,893",603,,,,
3,Isthmian Premier League ,7,1,6,1,Lewes,"9,919","10,300","10,533","11,090","11,100","11,121","11,178","11,244","11,288","11,466","12,228","12,742","12,766","13,037","13,137","13,471","13,555",705,,,,
3,Isthmian Premier League ,8,1,17,1,Margate,"12,471","12,552","12,798","13,580","13,500","13,702","13,864","14,021","14,073","14,166","14,822","15,244","15,304","15,526","15,632","15,890","16,052",586,,,,
3,Isthmian Premier League ,9,1,14,1,Bognor Regis Town,"7,966","8,092","8,208","8,818","8,899","9,082","9,157","9,212","9,208","9,236","9,831","10,148","10,187","10,437","10,525","10,729","10,842",542,,,,
3,Isthmian Premier League ,10,1,18,1,Kingstonian,"8,703","8,790","8,943","9,798","9,839","9,963","10,042","10,104","10,147","10,123","10,664","10,960","11,024","11,148","11,241","11,496","11,531",472,,,,
3,Isthmian Premier League ,11,1,7,1,Horsham,"6,997","7,068","7,126","8,377","8,569","8,828","8,938","9,043","9,105","9,159","10,533","11,120","11,223","11,484","11,597","11,980","12,185",757,,,,
3,Isthmian Premier League ,12,1,11,1,Carshalton Athletic,"5,035","5,106","5,282","5,942","5,994","6,204","6,284","6,359","6,396","6,428","6,721","7,037","7,117","7,292","7,375","7,492","7,575",375,,,,
3,Isthmian Premier League ,13,1,13,1,Potters Bar Town,,,,"2,987","3,022","3,196","3,288","3,340","3,367","3,386","3,795","4,101","4,162","4,412","4,565","4,771","4,893",609,,,,
3,Isthmian Premier League ,15,1,16,1,Wingate & Finchley,"7,812","8,030","8,217","8,757","8,825","8,970","9,057","9,148","9,184","9,219","9,768","10,012","10,023","10,179","10,283","10,417","10,511",394,,,,
3,Isthmian Premier League ,17,1,15,1,Haringey Borough,"3,585","3,730","3,883","5,614","5,600","5,660","5,736","5,832","5,864","6,133","6,301","6,431","6,475","6,538","6,609","6,652","6,734",177,,,,
3,Isthmian Premier League ,19,1,5,1,Cray Wanderers,"4,623","4,693","4,802","5,684","5,821","6,043","6,153","6,282","6,324","6,532","7,271","7,722","7,780","8,083","8,220","8,435","8,662",655,,,,
3,Northern Premier Division,4,1,5,1,Matlock Town,"10,905","12,116","12,319","14,979","15,400","16,175","16,346","16,487","16,664","16,853","18,410","19,125","19,236","19,782","20,464","21,132","21,457","1,896",,,,
3,Northern Premier Division,6,1,3,1,Bamber Bridge,"10,742","11,464","11,621","12,431","12,500","12,757","12,816","12,976","13,169","13,183","14,157","14,503","14,590","14,982","15,098","15,374","15,795",784,,,,
3,Northern Premier Division,7,1,15,1,Whitby Town,"9,240","9,735","9,845","11,248","11,400","11,731","11,803","11,884","11,930","11,902","12,722","13,002","13,087","13,454","13,602","13,875","13,939",788,,,,
3,Northern Premier Division,8,1,12,1,Stafford Rangers,"10,261","11,019","11,176","12,009","12,100","12,430","12,548","12,750","12,791","12,761","13,525","13,863","13,940","14,334","14,434","14,642","14,713",702,,,,
3,Northern Premier Division,9,1,8,1,FC United of Manchester ,"74,439","74,540","74,744","77,601","77,600","77,791","78,082","78,566","78,454","85,726","85,836","86,571","86,763","87,329","87,922","88,085","88,021","1,322",,,,
3,Northern Premier Division,10,1,17,1,Morpeth Town,"2,817","3,753","4,005","5,451","5,636","5,867","5,956","6,046","6,079","6,147","7,110","7,618","7,664","7,979","8,071","8,249","8,349",585,,,,
3,Northern Premier Division,11,1,11,1,Lancaster City,"9,473","10,242","10,344","11,284","11,300","11,587","11,868","11,748","11,886","11,898","12,726","13,076","13,148","13,530","13,650","13,939","14,007",791,,,,
3,Northern Premier Division,15,1,14,1,Ashton United,"12,333","12,450","12,644","13,579","13,600","13,946","14,030","14,107","14,191","14,221","14,905","15,126","15,201","15,525","26,326","25,126","24,936","9,925",,,,
3,Northern Premier Division,16,1,7,1,Radcliffe Borough,"8,705","9,465","9,638","10,836","10,900","11,406","11,507","11,660","11,759","12,092","13,127","13,309","13,422","13,843","14,013","14,726","15,905","1,304",,,,
3,Northern Premier Division,17,1,4,1,Gainsborough Trinity,"8,623","9,631","9,815","11,345","11,500","11,943","12,089","12,170","12,204","12,185","12,609","12,929","12,998","13,359","13,540","13,820","13,959",822,,,,
3,Northern Premier Division,18,1,6,1,Hyde United,"32,027","30,609","30,346","29,547","29,000","28,670","28,660","28,537","28,372","28,108","27,944","27,968","27,952","28,030","28,324","28,392","28,383",440,,,,
3,Northern Premier Division,19,1,18,1,Atherton Collieries,"5,841","6,443","6,634","8,360","8,605","8,885","8,916","8,997","9,024","9,046","9,901","10,148","10,211","10,551","10,785","10,988","11,170",777,,,,
3,Northern Premier Division,20,1,15,1,Basford United,"4,893","6,003","6,211","7,279","7,466","7,742","7,831","8,020","8,101","8,219","9,156","9,536","9,653","10,039","10,246","10,530","10,672",877,,,,
3,Southern Premier Div. Central,3,1,2,1,Coalville,"8,154","8,230","8,323","9,368","9,461","9,607","9,741","9,896","9,921","9,912","10,626","11,199","11,234","11,663","13,096","13,559","13,875","2,325",,,,
3,Southern Premier Div. Central,5,1,11,1,Alvechurch,"6,833","6,971","7,187","8,628","8,787","9,078","9,234","9,346","9,435","9,509","10,424","10,820","10,973","11,349","12,750","13,317","13,606","2,344",,,,
3,Southern Premier Div. Central,7,1,3,1,Leiston,"7,026","7,110","7,227","7,975","8,056","8,329","8,433","8,586","8,570","8,554","9,029","9,315","9,370","9,548","9,707","10,037","10,234",667,,,,
3,Southern Premier Div. Central,8,1,13,1,Royston Town,"5,704","5,784","5,960","7,078","7,387","7,538","7,637","7,699","7,738","7,724","8,151","8,421","8,451","8,668","8,784","8,908","8,961",457,,,,
3,Southern Premier Div. Central,11,1,10,1,Stourbridge,"11,301","11,446","11,673","13,459","13,600","14,246","14,346","14,437","14,439","14,359","15,781","16,240","16,349","16,763","17,023","17,481","17,792","1,132",,,,
3,Southern Premier Div. Central,12,1,6,1,Mickleover,"7,059","8,154","8,318","9,488","9,624","9,844","9,971","10,125","10,261","10,349","10,971","11,268","11,323","11,508","11,771","11,951","11,996",628,,,,
3,Southern Premier Div. Central,12,1,17,1,Needham Market,"2,474","2,594","2,749","3,708","3,923","4,073","4,144","4,225","4,267","4,732","5,273","5,749","5,843","6,149","6,713","6,902","7,036","1,059",,,,
3,Southern Premier Div. Central,13,1,14,1,Stratford Town,"4,722","4,826","5,000","6,045","6,105","6,343","6,415","6,497","6,528","6,565","7,759","7,914","7,964","8,315","8,412","9,013","9,230","1,049",,,,
3,Southern Premier Div. Central,14,1,16,1,St. Ives Town,"6,354","6,424","6,564","7,048","7,065","7,213","7,270","7,304","7,321","7,343","7,703","7,838","7,846","8,048","8,160","8,303","8,383",457,,,,
3,Southern Premier Div. Central,15,1,9,1,Redditch United,"3,705","3,863","4,025","4,777","4,964","5,446","5,592","5,765","5,784","5,856","6,622","7,056","7,134","7,449","7,772","8,136","8,387","1,002",,,,
3,Southern Premier Div. Central,16,1,4,1,Nuneaton Borough,"21,990","21,219","21,384","22,566","22,500","22,939","23,060","23,156","23,226","23,151","23,853","24,134","24,238","24,540","24,710","25,053","25,477",815,,,,
3,Southern Premier Div. Central,17,1,12,1,Hitchin Town,"9,546","9,617","9,851","10,644","10,600","10,868","11,342","11,427","11,431","11,497","12,153","12,376","12,440","12,723","12,862","13,075","13,176",635,,,,
3,Southern Premier Div. Central,18,1,18,1,Bromsgrove Sporting,"6,337","6,438","6,680","8,273","8,413","8,681","8,762","8,824","8,838","8,844","10,185","10,489","10,582","10,822","11,000","11,408","11,640",826,,,,
3,Southern Premier Div. Central,19,1,8,1,Barwell,"4,212","4,274","4,333","4,768","4,826","4,943","5,036","5,056","5,169","5,161","5,564","5,753","5,783","6,002","6,084","6,285","6,348",502,,,,
3,Southern Premier Div. South,2,1,7,1,Hayes & Yeading United,"8,569","8,655","8,789","9,483","9,487","9,538","9,614","9,805","9,786","9,734","10,413","10,826","10,845","11,029","11,095","11,222","11,216",377,,,,
3,Southern Premier Div. South,6,1,5,1,Chesham United,"7,935","7,997","8,082","8,671","8,719","8,844","8,894","8,991","9,051","9,043","9,584","9,826","9,842","10,110","10,234","10,482","10,867",640,,,,
3,Southern Premier Div. South,9,1,17,1,Gosport Borough,"1,990","2,052","2,203","3,262","3,344","3,640","3,750","3,814","3,856","3,901","4,639","4,874","4,931","5,289","5,466","5,680","5,819",749,,,,
3,Southern Premier Div. South,10,1,4,1,Poole Town,"11,403","11,538","11,698","13,084","13,000","13,148","13,214","13,298","13,327","13,260","13,827","14,046","14,102","14,356","14,516","14,857","14,992",755,,,,
3,Southern Premier Div. South,12,1,6,1,Swindon Supermarine,"6,572","6,675","6,777","7,525","7,596","7,802","7,873","7,922","7,933","7,922","8,748","8,918","8,965","9,303","9,454","9,729","9,810",764,,,,
3,Southern Premier Div. South,13,1,12,1,Tiverton Town,"6,289","6,375","6,489","7,724","7,860","8,078","8,204","8,280","8,275","8,269","8,978","9,337","9,486","9,864","10,105","10,403","10,533",917,,,,
3,Southern Premier Div. South,15,1,15,1,Salisbury,"10,589","10,735","10,892","11,513","11,500","11,640","11,703","11,786","11,758","11,732","12,140","12,314","12,344","12,565","12,693","12,983","13,041",639,,,,
3,Southern Premier Div. South,16,1,18,1,Hendon,"9,440","9,529","9,670","10,792","10,900","11,092","11,163","11,229","11,275","11,249","11,765","11,980","12,013","12,194","12,378","12,543","12,626",530,,,,
3,Southern Premier Div. South,17,1,11,1,Beaconsfield Town,"3,617","3,701","3,718","3,940","3,967","4,061","4,089","4,121","4,139","4,286","4,801","4,968","4,991","5,237","5,340","5,643","5,787",652,,,,
3,Southern Premier Div. South,19,1,13,1,Dorchester Town,"9,208","9,392","9,529","10,291","10,300","10,520","10,592","10,702","10,752","10,729","11,555","11,851","11,907","12,252","12,401","12,682","12,725",775,,,,
3,Southern Premier Div. South,21,1,9,1,Merthyr Town,,"11,526","11,640","11,816","12,373","12,400","12,622","12,679","12,636","12,621","12,635","13,543","13,972","14,773","15,466","15,873","16,041","1,901",,,,
4,Isthmian League North,3,1,8,1,Brentwood Town,"5,917","6,343","6,452","7,047","7,121","7,345","7,422","7,480","7,505","7,514","8,006","8,413","8,486",,"8,726","8,839","8,916",353,,,,
4,Isthmian League North,4,1,7,1,Stowmarket Town,,,"4,312","5,744","5,787","5,970","6,065",,"6,164","6,273","6,922","7,236","7,310",,"7,752","8,080","8,221",770,,,,
4,Isthmian League North,5,1,6,1,Felixstowe & Walton United,"3,099","3,832","3,976","4,693","4,821","5,124","5,188","5,249","5,271","5,300","5,880","6,286","6,346",,"6,679","6,928","7,158",582,,,,
