,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mid-Way Through 2018-19 Season,Mid-Way Through 2018-19 Season,,,,,,,,,,,,,,,,,,,,
Step,League,"2021-22
Position",2021-22 Promoted,"2022-23
3,Southern Premier Div. Central,2,1,1,2,Berkhamsted,"2,239","2,818","2,982","3,689","3,832","4,143","4,222","4,285","4,355","4,385","5,006","5,284","5,348",,"5,692","6,110","6,329",762,,,,
3,Southern Premier Div. Central,2,1,1,2,Stamford,"4,927","5,316","5,351","5,816","5,876","6,087","6,151","6,207","6,311","6,344","6,927","7,317","7,352",,"7,695","8,056","8,305",704,,,,
3,Southern Premier Div. Central,3,1,2,2,Halesowen,"9,693","10,585","10,782","12,350","13,100","13,583","13,715","13,792","13,774","13,816","14,955","15,731","15,783",,"16,682","17,226","17,841","1,443",,,,
3,Southern Premier Div. Central,7,1,2,2,AFC Sudbury,"6,848","7,461","7,602","8,417","8,513","8,750","8,843","8,908","8,948","9,019","10,774","11,149","11,274",,"11,979","12,580","13,048","1,306",,,,
3,Southern Premier Div. South,5,1,1,2,Basingstoke Town,"9,442","9,912","10,094","11,101","11,100","11,585","11,661","11,749","12,239","12,359","12,984","13,356","13,404",,"13,830","14,289","14,695",885,,,,
3,Southern Premier Div. South,6,1,1,2,AFC Totton,"5,919","6,279","6,347","6,819","6,893","7,017","7,098","7,163","7,131","7,157","7,857","8,248","8,309",,"8,598","8,987","9,102",678,,,,
3,Southern Premier Div. South,7,1,2,2,Sholing,"3,988","4,050","4,213","4,926","5,012","5,141","5,229","5,424","5,411","5,429","5,892","6,071","6,111",,"6,433","6,690","6,935",579,,,,
3,Southern Premier Div. South,13,1,3,2,Didcot Town,"6,074","6,285","6,341","6,637","6,680","6,751","6,788","6,824","6,812","6,819","7,202","7,308","7,334",,"7,712","7,911","8,180",577,,,,
4,Isthmian League North,3,1,2,2,Redbridge,,,"6,078","6,342","6,351","6,556","6,616",,"6,630","6,670","6,970","7,130","7,194",,"7,270","7,387","7,463",193,,,,
4,Isthmian League North,5,1,1,2,Enfield,,,"3,262","3,687","3,699","4,037","4,153",,"4,174","4,181","4,650","4,782","4,861",,"5,021","5,242","5,369",381,,,,
4,Isthmian League South Central,3,1,1,2,Raynes Park Vale,,,"2,783","3,144","3,255","3,429","3,492",,"3,604","3,657","4,138","4,504","4,592",,"5,052","5,358","5,468",766,,,,
4,Isthmian League South Central,5,1,2,2,Badshot Lea,,,"3,202","3,800","3,856","4,114","4,177",,"4,226","4,270","4,760","5,056","5,141",,"5,502","5,801","5,953",660,,,,
4,Isthmian League South Central,6,1,1,2,Ascot United,,,"3,490","4,272","4,419","4,591","4,665",,"4,815","4,908","5,473","5,863","5,985",,"6,316","7,070","7,578","1,085",,,,
4,Isthmian League South East,4,1,1,2,Horndean,,,"7,095","6,425","6,466","6,622","6,683",,"6,724","6,747","4,423","4,537","4,624",,"4,811","5,219","5,362",595,,,,
4,Isthmian League South East,6,1,1,2,Erith & Belvedere,,,"4,136","4,613","4,694","5,020","5,095",,"5,168","5,266","5,788","5,960","6,103",,"6,340","6,732","7,068",629,,,,
4,Isthmian League South East,7,1,1,2,Broadbridge Heath,,,"2,120","2,566","2,647","2,841","2,884",,"2,984","3,049","3,418","3,560","3,650",,"3,916","4,190","4,309",540,,,,
4,Northern League East Div.,4,1,1,2,Newton Aycliffe,,,"8,959","9,432","9,406","9,533","9,617",,"9,669","9,676","10,116","10,258","10,342",,"10,521","10,798","10,889",456,,,,
4,Northern League East Div.,4,1,2,2,Winterton Rangers,,,"3,414","3,822","3,843","3,985",,,"4,107","4,141","4,432","4,591","4,644",,"4,772","5,018","5,145",374,,,,
4,Northern League East Div.,8,1,2,2,Ashington,,,"9,217","9,639","9,647","10,719","10,776",,"10,799","10,772","11,205","11,375","11,532",,"12,454","12,746","12,832","1,214",,,,
4,Northern League Midlands Div.,3,1,1,2,Anstey Nomads,,,"2,001","2,279","2,305","2,470","2,351",,"2,622","2,679","3,161","3,350","3,407",,"4,517","4,684","4,744","1,277",,,,
4,Northern League Midlands Div.,3,1,2,2,Rugby Town,,,"4,858","5,124","5,087","5,169","5,193",,"5,261","5,237","5,639","5,728","5,784",,"6,013","6,182","6,229",398,,,,
4,Northern League Midlands Div.,4,1,1,2,Coventry Sphinx,,,"4,676","5,168","5,193","5,300","5,369",,"5,507","5,539","5,948","6,138","6,185",,"6,385","6,682","6,793",497,,,,
4,Northern League Midlands Div.,6,1,1,2,Walsall Wood,,,"6,480","7,390","7,493","7,935","8,044",,"8,304","8,631","9,349","9,519","9,581",,"9,855","10,106","10,234",525,,,,
4,Northern League Midlands Div.,8,1,2,2,Lye Town,,,,,"1,357","1,908","1,975",,"2,096","2,154","2,243","1,113","1,191",,"1,493","1,784","1,969",593,,,,
4,Northern League Midlands Div.,13,1,2,2,Quorn,,,"3,277","3,639","3,728","3,906","3,924",,"4,007","4,011","4,372","4,397","4,445",,"4,593","4,810","4,920",365,,,,
4,Northern League West Div.,6,1,2,2,Avro,,,"3,379","4,213","4,337","4,602","4,698",,"4,873","5,059","5,939","6,859","7,094",,"7,934","8,718","8,957","1,624",,,,
4,Northern League West Div.,8,1,1,2,Vauxhall Motors,,,"1,361","2,255","2,525","2,919",,,"3,195","3,408","4,424","4,888","5,002",,"5,468","6,007","6,204","1,005",,,,
4,Southern Div. One Central,4,1,1,2,Leighton Town,,,"3,858","4,868","4,877","5,073","5,158",,"5,236","5,306","5,904","6,430","6,572",,"6,963","7,480","7,755",908,,,,
