ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks
3322,1314.86,0.2,0.2,2.27E-12,7.00E-14,7.00E-14,2-Jan,5,1,5,1,0,4,0,Xi,uss
-3322,1314.86,0.2,0.2,2.27E-12,7.00E-14,7.00E-14,2-Jan,5,-1,5,1,0,4,0,Xi,USS
3324,1531.8,0.32,0.32,9.1,0.5,0.5,2-Jan,5,1,5,1,0,4,0,Xi(1530),uss
-3324,1531.8,0.32,0.32,9.1,0.5,0.5,2-Jan,5,-1,5,1,0,4,0,Xi(1530),USS
3334,1672.45,0.29,0.29,8.02E-12,1.10E-13,1.10E-13,0,5,1,5,1,-3,4,0,Omega,sss
-3334,1672.45,0.29,0.29,8.02E-12,1.10E-13,1.10E-13,0,5,-1,5,1,3,4,0,Omega,SSS
4101,-1,-1,-1,-1,-1,-1,2-Jan,5,5,5,1,1,0,4,(cd)(0),
-4101,-1,-1,-1,-1,-1,-1,2-Jan,5,5,5,1,-1,0,4,(cd)(0),
4103,-1,-1,-1,-1,-1,-1,2-Jan,5,5,5,1,1,0,4,(cd)(1),
-4103,-1,-1,-1,-1,-1,-1,2-Jan,5,5,5,1,-1,0,4,(cd)(1),
4112,2453.75,0.14,0.14,1.83,0.11,0.19,1,5,1,5,1,0,4,0,Sigma(c)(2455),ddc
-4112,2453.75,0.14,0.14,1.83,0.11,0.19,1,5,-1,5,1,0,4,0,Sigma(c)(2455),DDC
4114,2518.48,0.2,0.2,15.3,0.4,0.5,1,5,1,5,1,0,3,0,Sigma(c)(2520),ddc
-4114,2518.48,0.2,0.2,15.3,0.4,0.5,1,5,-1,5,1,0,3,0,Sigma(c)(2520),DDC
4122,2286.46,0.14,0.14,3.27E-09,4.00E-11,4.00E-11,0,5,1,5,1,3,4,0,Lambda(c),udc
-4122,2286.46,0.14,0.14,3.27E-09,4.00E-11,4.00E-11,0,5,-1,5,1,-3,4,0,Lambda(c),UDC
4132,2470.44,0.28,0.28,4.33E-09,7.00E-11,7.00E-11,2-Jan,5,1,5,1,0,3,0,Xi(c),dsc
-4132,2470.44,0.28,0.28,4.33E-09,7.00E-11,7.00E-11,2-Jan,5,-1,5,1,0,3,0,Xi(c),DSC
4201,-1,-1,-1,-1,-1,-1,2-Jan,5,5,5,1,4,0,4,(cu)(0),
-4201,-1,-1,-1,-1,-1,-1,2-Jan,5,5,5,1,-4,0,4,(cu)(0),
4203,-1,-1,-1,-1,-1,-1,2-Jan,5,5,5,1,4,0,4,(cu)(1),
-4203,-1,-1,-1,-1,-1,-1,2-Jan,5,5,5,1,-4,0,4,(cu)(1),
4212,2452.65,0.22,0.16,2.3,0.4,0.4,1,5,1,5,1,3,4,0,Sigma(c)(2455),udc
-4212,2452.65,0.22,0.16,2.3,0.4,0.4,1,5,-1,5,1,-3,4,0,Sigma(c)(2455),UDC
4214,2517.4,0.7,0.5,17.2,4,2.2,1,5,1,5,1,3,3,0,Sigma(c)(2520),udc
-4214,2517.4,0.7,0.5,17.2,4,2.2,1,5,-1,5,1,-3,3,0,Sigma(c)(2520),UDC
4222,2453.97,0.14,0.14,1.89,0.09,0.18,1,5,1,5,1,6,4,0,Sigma(c)(2455),uuc
-4222,2453.97,0.14,0.14,1.89,0.09,0.18,1,5,-1,5,1,-6,4,0,Sigma(c)(2455),UUC
